,Date,Value,Anomaly,state
0,196001,5.88,0.58,Unnamed: 0
1,196101,3.31,-1.99,Unnamed: 0
2,196201,7.03,1.73,Unnamed: 0
3,196301,6.25,0.95,Unnamed: 0
4,196401,6.80,1.50,Unnamed: 0
5,196501,4.21,-1.09,Unnamed: 0
6,196601,5.96,0.66,Unnamed: 0
7,196701,3.73,-1.57,Unnamed: 0
8,196801,4.62,-0.68,Unnamed: 0
9,196901,3.59,-1.71,Unnamed: 0
10,197001,3.19,-2.11,Unnamed: 0
11,197101,4.08,-1.22,Unnamed: 0
12,197201,8.52,3.22,Unnamed: 0
13,197301,5.90,0.60,Unnamed: 0
14,197401,8.20,2.90,Unnamed: 0
15,197501,6.65,1.35,Unnamed: 0
16,197601,4.46,-0.84,Unnamed: 0
17,197701,4.95,-0.35,Unnamed: 0
18,197801,7.09,1.79,Unnamed: 0
19,197901,7.68,2.38,Unnamed: 0
20,198001,5.50,0.20,Unnamed: 0
21,198101,1.33,-3.97,Unnamed: 0
22,198201,6.50,1.20,Unnamed: 0
23,198301,4.34,-0.96,Unnamed: 0
24,198401,4.05,-1.25,Unnamed: 0
25,198501,3.90,-1.40,Unnamed: 0
26,198601,2.13,-3.17,Unnamed: 0
27,198701,6.09,0.79,Unnamed: 0
28,198801,5.38,0.08,Unnamed: 0
29,198901,4.49,-0.81,Unnamed: 0
30,199001,8.44,3.14,Unnamed: 0
31,199101,7.33,2.03,Unnamed: 0
32,199201,6.12,0.82,Unnamed: 0
33,199301,6.21,0.91,Unnamed: 0
34,199401,5.31,0.01,Unnamed: 0
35,199501,4.83,-0.47,Unnamed: 0
36,199601,7.40,2.10,Unnamed: 0
37,199701,6.47,1.17,Unnamed: 0
38,199801,8.14,2.84,Unnamed: 0
39,199901,7.94,2.64,Unnamed: 0
40,200001,4.69,-0.61,Unnamed: 0
41,200101,4.69,-0.61,Unnamed: 0
42,200201,5.11,-0.19,Unnamed: 0
43,200301,2.33,-2.97,Unnamed: 0
44,200401,3.27,-2.03,Unnamed: 0
45,200501,2.86,-2.44,Unnamed: 0
46,200601,5.23,-0.07,Unnamed: 0
47,200701,4.34,-0.96,Unnamed: 0
48,200801,4.09,-1.21,Unnamed: 0
49,200901,4.42,-0.88,Unnamed: 0
50,201001,6.21,0.91,Unnamed: 0
51,201101,4.03,-1.27,Unnamed: 0
52,196002,4.37,-0.75,Unnamed: 0
53,196102,12.03,6.91,Unnamed: 0
54,196202,4.86,-0.26,Unnamed: 0
55,196302,3.29,-1.83,Unnamed: 0
56,196402,4.54,-0.58,Unnamed: 0
57,196502,6.28,1.16,Unnamed: 0
58,196602,8.59,3.47,Unnamed: 0
59,196702,4.75,-0.37,Unnamed: 0
60,196802,1.87,-3.25,Unnamed: 0
61,196902,4.25,-0.87,Unnamed: 0
62,197002,3.75,-1.37,Unnamed: 0
63,197102,7.78,2.66,Unnamed: 0
64,197202,3.56,-1.56,Unnamed: 0
65,197302,3.99,-1.13,Unnamed: 0
66,197402,5.21,0.09,Unnamed: 0
67,197502,7.17,2.05,Unnamed: 0
68,197602,2.63,-2.49,Unnamed: 0
69,197702,3.56,-1.56,Unnamed: 0
70,197802,1.90,-3.22,Unnamed: 0
71,197902,6.61,1.49,Unnamed: 0
72,198002,2.45,-2.67,Unnamed: 0
73,198102,6.64,1.52,Unnamed: 0
74,198202,7.67,2.55,Unnamed: 0
75,198302,7.76,2.64,Unnamed: 0
76,198402,4.03,-1.09,Unnamed: 0
77,198502,6.43,1.31,Unnamed: 0
78,198602,3.76,-1.36,Unnamed: 0
79,198702,7.27,2.15,Unnamed: 0
80,198802,3.91,-1.21,Unnamed: 0
81,198902,4.31,-0.81,Unnamed: 0
82,199002,8.57,3.45,Unnamed: 0
83,199102,5.22,0.10,Unnamed: 0
84,199202,5.99,0.87,Unnamed: 0
85,199302,3.72,-1.40,Unnamed: 0
86,199402,5.08,-0.04,Unnamed: 0
87,199502,5.65,0.53,Unnamed: 0
88,199602,4.07,-1.05,Unnamed: 0
89,199702,6.16,1.04,Unnamed: 0
90,199802,7.29,2.17,Unnamed: 0
91,199902,2.55,-2.57,Unnamed: 0
92,200002,1.99,-3.13,Unnamed: 0
93,200102,4.11,-1.01,Unnamed: 0
94,200202,2.99,-2.13,Unnamed: 0
95,200302,6.76,1.64,Unnamed: 0
96,200402,7.06,1.94,Unnamed: 0
97,200502,4.96,-0.16,Unnamed: 0
98,200602,5.05,-0.07,Unnamed: 0
99,200702,2.64,-2.48,Unnamed: 0
100,200802,5.79,0.67,Unnamed: 0
101,200902,3.85,-1.27,Unnamed: 0
102,201002,4.22,-0.90,Unnamed: 0
103,201102,3.49,-1.63,Unnamed: 0
104,196003,6.91,0.59,Unnamed: 0
105,196103,9.17,2.85,Unnamed: 0
106,196203,5.47,-0.85,Unnamed: 0
107,196303,5.13,-1.19,Unnamed: 0
108,196403,8.17,1.85,Unnamed: 0
109,196503,6.81,0.49,Unnamed: 0
110,196603,4.01,-2.31,Unnamed: 0
111,196703,1.92,-4.40,Unnamed: 0
112,196803,3.65,-2.67,Unnamed: 0
113,196903,5.12,-1.20,Unnamed: 0
114,197003,7.73,1.41,Unnamed: 0
115,197103,8.79,2.47,Unnamed: 0
116,197203,5.93,-0.39,Unnamed: 0
117,197303,11.78,5.46,Unnamed: 0
118,197403,3.92,-2.40,Unnamed: 0
119,197503,8.63,2.31,Unnamed: 0
120,197603,10.45,4.13,Unnamed: 0
121,197703,9.86,3.54,Unnamed: 0
122,197803,3.99,-2.33,Unnamed: 0
123,197903,6.64,0.32,Unnamed: 0
124,198003,13.81,7.49,Unnamed: 0
125,198103,5.71,-0.61,Unnamed: 0
126,198203,2.95,-3.37,Unnamed: 0
127,198303,7.73,1.41,Unnamed: 0
128,198403,4.96,-1.36,Unnamed: 0
129,198503,2.49,-3.83,Unnamed: 0
130,198603,4.48,-1.84,Unnamed: 0
131,198703,4.97,-1.35,Unnamed: 0
132,198803,4.06,-2.26,Unnamed: 0
133,198903,6.51,0.19,Unnamed: 0
134,199003,8.96,2.64,Unnamed: 0
135,199103,7.05,0.73,Unnamed: 0
136,199203,4.03,-2.29,Unnamed: 0
137,199303,6.59,0.27,Unnamed: 0
138,199403,7.25,0.93,Unnamed: 0
139,199503,5.42,-0.90,Unnamed: 0
140,199603,8.45,2.13,Unnamed: 0
141,199703,3.87,-2.45,Unnamed: 0
142,199803,6.20,-0.12,Unnamed: 0
143,199903,5.65,-0.67,Unnamed: 0
144,200003,5.05,-1.27,Unnamed: 0
145,200103,10.11,3.79,Unnamed: 0
146,200203,5.79,-0.53,Unnamed: 0
147,200303,4.67,-1.65,Unnamed: 0
148,200403,2.28,-4.04,Unnamed: 0
149,200503,5.85,-0.47,Unnamed: 0
150,200603,2.97,-3.35,Unnamed: 0
151,200703,1.56,-4.76,Unnamed: 0
152,200803,4.01,-2.31,Unnamed: 0
153,200903,8.98,2.66,Unnamed: 0
154,201003,5.07,-1.25,Unnamed: 0
155,201103,8.18,1.86,Unnamed: 0
156,196004,3.86,-0.96,Unnamed: 0
157,196104,4.95,0.13,Unnamed: 0
158,196204,6.11,1.29,Unnamed: 0
159,196304,4.10,-0.72,Unnamed: 0
160,196404,11.50,6.68,Unnamed: 0
161,196504,2.54,-2.28,Unnamed: 0
162,196604,4.46,-0.36,Unnamed: 0
163,196704,2.31,-2.51,Unnamed: 0
164,196804,5.05,0.23,Unnamed: 0
165,196904,5.43,0.61,Unnamed: 0
166,197004,4.74,-0.08,Unnamed: 0
167,197104,4.04,-0.78,Unnamed: 0
168,197204,2.39,-2.43,Unnamed: 0
169,197304,6.87,2.05,Unnamed: 0
170,197404,5.90,1.08,Unnamed: 0
171,197504,6.77,1.95,Unnamed: 0
172,197604,1.68,-3.14,Unnamed: 0
173,197704,4.32,-0.50,Unnamed: 0
174,197804,3.83,-0.99,Unnamed: 0
175,197904,10.89,6.07,Unnamed: 0
176,198004,7.65,2.83,Unnamed: 0
177,198104,2.95,-1.87,Unnamed: 0
178,198204,7.57,2.75,Unnamed: 0
179,198304,9.44,4.62,Unnamed: 0
180,198404,5.42,0.60,Unnamed: 0
181,198504,2.93,-1.89,Unnamed: 0
182,198604,0.72,-4.10,Unnamed: 0
183,198704,0.92,-3.90,Unnamed: 0
184,198804,3.99,-0.83,Unnamed: 0
185,198904,4.43,-0.39,Unnamed: 0
186,199004,3.39,-1.43,Unnamed: 0
187,199104,6.85,2.03,Unnamed: 0
188,199204,2.91,-1.91,Unnamed: 0
189,199304,3.26,-1.56,Unnamed: 0
190,199404,4.40,-0.42,Unnamed: 0
191,199504,5.07,0.25,Unnamed: 0
192,199604,4.65,-0.17,Unnamed: 0
193,199704,6.03,1.21,Unnamed: 0
194,199804,5.39,0.57,Unnamed: 0
195,199904,2.57,-2.25,Unnamed: 0
196,200004,4.83,0.01,Unnamed: 0
197,200104,3.88,-0.94,Unnamed: 0
198,200204,2.19,-2.63,Unnamed: 0
199,200304,6.41,1.59,Unnamed: 0
200,200404,3.37,-1.45,Unnamed: 0
201,200504,7.60,2.78,Unnamed: 0
202,200604,3.07,-1.75,Unnamed: 0
203,200704,3.91,-0.91,Unnamed: 0
204,200804,4.53,-0.29,Unnamed: 0
205,200904,4.45,-0.37,Unnamed: 0
206,201004,2.82,-2.00,Unnamed: 0
207,201104,5.08,0.26,Unnamed: 0
208,196005,3.49,-0.61,Unnamed: 0
209,196105,3.20,-0.90,Unnamed: 0
210,196205,1.06,-3.04,Unnamed: 0
211,196305,3.26,-0.84,Unnamed: 0
212,196405,2.67,-1.43,Unnamed: 0
213,196505,1.18,-2.92,Unnamed: 0
214,196605,4.90,0.80,Unnamed: 0
215,196705,5.59,1.49,Unnamed: 0
216,196805,4.01,-0.09,Unnamed: 0
217,196905,5.99,1.89,Unnamed: 0
218,197005,3.17,-0.93,Unnamed: 0
