Unmaned:0,Date,Value,Anomaly,state
0,196004,49.6,-3.2,Alabama
1,196104,51.9,-0.9,Alabama
2,196204,52.2,-0.6,Alabama
3,196304,51.3,-1.5,Alabama
4,196404,51,-1.8,Alabama
5,196504,52.6,-0.2,Alabama
6,196604,50.8,-2,Alabama
7,196704,54.1,1.3,Alabama
8,196804,49.5,-3.3,Alabama
9,196904,50.2,-2.6,Alabama
10,197004,50.2,-2.6,Alabama
11,197104,50.5,-2.3,Alabama
12,197204,53.7,0.9,Alabama
13,197304,52,-0.8,Alabama
14,197404,56.2,3.4,Alabama
15,197504,53.7,0.9,Alabama
16,197604,53.6,0.8,Alabama
17,197704,50.2,-2.6,Alabama
18,197804,47.4,-5.4,Alabama
19,197904,50.2,-2.6,Alabama
20,198004,50.7,-2.1,Alabama
21,198104,51.4,-1.4,Alabama
22,198204,52.6,-0.2,Alabama
23,198304,49.6,-3.2,Alabama
24,198404,50.9,-1.9,Alabama
25,198504,51.4,-1.4,Alabama
26,198604,53.1,0.3,Alabama
27,198704,51.8,-1,Alabama
28,198804,50.8,-2,Alabama
29,198904,54.3,1.5,Alabama
30,199004,56,3.2,Alabama
31,199104,54.8,2,Alabama
32,199204,53,0.2,Alabama
33,199304,51.4,-1.4,Alabama
34,199404,52.9,0.1,Alabama
35,199504,53.6,0.8,Alabama
36,199604,50.4,-2.4,Alabama
37,199704,54.2,1.4,Alabama
38,199804,53,0.2,Alabama
39,199904,55.3,2.5,Alabama
40,200004,54.5,1.7,Alabama
41,200104,52.5,-0.3,Alabama
42,200204,53.6,0.8,Alabama
43,200304,52.2,-0.6,Alabama
44,200404,52.5,-0.3,Alabama
45,200504,53.7,0.9,Alabama
46,200604,55.2,2.4,Alabama
47,200704,52.9,0.1,Alabama
48,200804,52.6,-0.2,Alabama
49,200904,53.1,0.3,Alabama
50,201004,49,-3.8,Alabama
51,201104,53.5,0.7,Alabama
52,196004,46.9,-1,Arizona
53,196104,48.8,0.9,Arizona
54,196204,47.5,-0.4,Arizona
55,196304,47.4,-0.5,Arizona
56,196404,43.9,-4,Arizona
57,196504,46.9,-1,Arizona
58,196604,46.6,-1.3,Arizona
59,196704,47.8,-0.1,Arizona
60,196804,48,0.1,Arizona
61,196904,47.7,-0.2,Arizona
62,197004,46.9,-1,Arizona
63,197104,47.8,-0.1,Arizona
64,197204,50.8,2.9,Arizona
65,197304,44.5,-3.4,Arizona
66,197404,47.7,-0.2,Arizona
67,197504,45,-2.9,Arizona
68,197604,48.1,0.2,Arizona
69,197704,47.6,-0.3,Arizona
70,197804,49.1,1.2,Arizona
71,197904,45.8,-2.1,Arizona
72,198004,48.9,1,Arizona
73,198104,50.7,2.8,Arizona
74,198204,48.2,0.3,Arizona
75,198304,47,-0.9,Arizona
76,198404,48.2,0.3,Arizona
77,198504,48.1,0.2,Arizona
78,198604,52,4.1,Arizona
79,198704,48.1,0.2,Arizona
80,198804,48.7,0.8,Arizona
81,198904,51.2,3.3,Arizona
82,199004,48.8,0.9,Arizona
83,199104,47.8,-0.1,Arizona
84,199204,49.5,1.6,Arizona
85,199304,49.6,1.7,Arizona
86,199404,49.4,1.5,Arizona
87,199504,49.8,1.9,Arizona
88,199604,51.5,3.6,Arizona
89,199704,49.5,1.6,Arizona
90,199804,46.9,-1,Arizona
91,199904,49.9,2,Arizona
92,200004,51.7,3.8,Arizona
93,200104,48.5,0.6,Arizona
94,200204,50.1,2.2,Arizona
95,200304,50.1,2.2,Arizona
96,200404,50.2,2.3,Arizona
97,200504,49.6,1.7,Arizona
98,200604,49.8,1.9,Arizona
99,200704,49.9,2,Arizona
100,200804,48.7,0.8,Arizona
101,200904,50.3,2.4,Arizona
102,201004,48,0.1,Arizona
103,201104,48.9,1,Arizona
104,196004,47.8,0.2,California
105,196104,48.8,1.2,California
106,196204,47,-0.6,California
107,196304,47.2,-0.4,California
108,196404,45.9,-1.7,California
109,196504,47.6,0,California
110,196604,47.7,0.1,California
111,196704,45.8,-1.8,California
112,196804,49.1,1.5,California
113,196904,46.2,-1.4,California
114,197004,48.1,0.5,California
115,197104,46.9,-0.7,California
116,197204,48.8,1.2,California
117,197304,46.2,-1.4,California
118,197404,46.9,-0.7,California
119,197504,44.9,-2.7,California
120,197604,47.1,-0.5,California
121,197704,48,0.4,California
122,197804,49,1.4,California
123,197904,46.6,-1,California
124,198004,49.1,1.5,California
125,198104,49.9,2.3,California
126,198204,46.6,-1,California
127,198304,47.4,-0.2,California
128,198404,49.1,1.5,California
129,198504,47.9,0.3,California
130,198604,51.5,3.9,California
131,198704,48.9,1.3,California
132,198804,49.5,1.9,California
133,198904,48.9,1.3,California
134,199004,48.9,1.3,California
135,199104,48.2,0.6,California
136,199204,50.5,2.9,California
137,199304,48.4,0.8,California
138,199404,49.6,2,California
139,199504,49.5,1.9,California
140,199604,50.7,3.1,California
141,199704,50.2,2.6,California
142,199804,47.4,-0.2,California
143,199904,47.2,-0.4,California
144,200004,50.3,2.7,California
145,200104,47.5,-0.1,California
146,200204,48.8,1.2,California
147,200304,49.3,1.7,California
148,200404,50.5,2.9,California
149,200504,48.8,1.2,California
150,200604,47.3,-0.3,California
151,200704,49.7,2.1,California
152,200804,47.9,0.3,California
153,200904,48.9,1.3,California
154,201004,48,0.4,California
155,201104,47.7,0.1,California
156,196004,29.6,-2.2,Colorado
157,196104,32.2,0.4,Colorado
158,196204,30.9,-0.9,Colorado
159,196304,31.7,-0.1,Colorado
160,196404,28.3,-3.5,Colorado
161,196504,30.6,-1.2,Colorado
162,196604,30.2,-1.6,Colorado
163,196704,34.6,2.8,Colorado
164,196804,31.3,-0.5,Colorado
165,196904,32.3,0.5,Colorado
166,197004,31.3,-0.5,Colorado
167,197104,32,0.2,Colorado
168,197204,35,3.2,Colorado
169,197304,28.8,-3,Colorado
170,197404,31.2,-0.6,Colorado
171,197504,30,-1.8,Colorado
172,197604,33.1,1.3,Colorado
173,197704,32.4,0.6,Colorado
174,197804,32.7,0.9,Colorado
175,197904,29.2,-2.6,Colorado
176,198004,31.2,-0.6,Colorado
177,198104,36.1,4.3,Colorado
178,198204,31.7,-0.1,Colorado
179,198304,32.3,0.5,Colorado
180,198404,28.8,-3,Colorado
181,198504,31.4,-0.4,Colorado
182,198604,37.2,5.4,Colorado
183,198704,33.2,1.4,Colorado
184,198804,30.8,-1,Colorado
185,198904,33.2,1.4,Colorado
186,199004,34,2.2,Colorado
187,199104,32.8,1,Colorado
188,199204,35.7,3.9,Colorado
189,199304,31.8,0,Colorado
190,199404,33.7,1.9,Colorado
191,199504,34.4,2.6,Colorado
192,199604,33.2,1.4,Colorado
193,199704,32.2,0.4,Colorado
194,199804,33.1,1.3,Colorado
195,199904,35.6,3.8,Colorado
196,200004,36.6,4.8,Colorado
197,200104,33.7,1.9,Colorado
198,200204,33,1.2,Colorado
199,200304,35,3.2,Colorado
200,200404,34.7,2.9,Colorado
201,200504,35,3.2,Colorado
202,200604,35,3.2,Colorado
203,200704,32.7,0.9,Colorado
204,200804,30.8,-1,Colorado
205,200904,34.9,3.1,Colorado
206,201004,32.4,0.6,Colorado
207,201104,32.2,0.4,Colorado
208,196004,34.1,0.8,Connecticut
209,196104,31.8,-1.5,Connecticut
210,196204,33.1,-0.2,Connecticut
211,196304,31.9,-1.4,Connecticut
212,196404,33.6,0.3,Connecticut
213,196504,31.5,-1.8,Connecticut
214,196604,33.1,-0.2,Connecticut
215,196704,32.4,-0.9,Connecticut
216,196804,32.7,-0.6,Connecticut
217,196904,33.2,-0.1,Connecticut
218,197004,30.9,-2.4,Connecticut
219,197104,31.4,-1.9,Connecticut
220,197204,32,-1.3,Connecticut
221,197304,36.2,2.9,Connecticut
222,197404,34.6,1.3,Connecticut
223,197504,33.8,0.5,Connecticut
224,197604,35.4,2.1,Connecticut
225,197704,32.9,-0.4,Connecticut
226,197804,30.1,-3.2,Connecticut
227,197904,32.7,-0.6,Connecticut
228,198004,33.5,0.2,Connecticut
229,198104,34.1,0.8,Connecticut
230,198204,31.2,-2.1,Connecticut
231,198304,35.5,2.2,Connecticut
232,198404,33.5,0.2,Connecticut
233,198504,34.7,1.4,Connecticut
234,198604,34.9,1.6,Connecticut
235,198704,34.6,1.3,Connecticut
236,198804,33.3,0,Connecticut
237,198904,34.7,1.4,Connecticut
238,199004,38.2,4.9,Connecticut
239,199104,37.4,4.1,Connecticut
240,199204,34,0.7,Connecticut
241,199304,33.2,-0.1,Connecticut
242,199404,31.4,-1.9,Connecticut
243,199504,35.7,2.4,Connecticut
244,199604,33.1,-0.2,Connecticut
245,199704,35.5,2.2,Connecticut
246,199804,39.1,5.8,Connecticut
247,199904,36.1,2.8,Connecticut
248,200004,36,2.7,Connecticut
249,200104,34.3,1,Connecticut
250,200204,39,5.7,Connecticut
251,200304,31.4,-1.9,Connecticut
252,200404,33.3,0,Connecticut
253,200504,33.9,0.6,Connecticut
254,200604,37.2,3.9,Connecticut
255,200704,33.6,0.3,Connecticut
256,200804,36.4,3.1,Connecticut
257,200904,34.3,1,Connecticut
258,201004,38,4.7,Connecticut
